234530	234531	234532
182563	182564	182565
182932	182933	182934
184401	184402	184403
184522	184523	184524
184601	184602	184603
184699	184700	184701
184757	184758	184759
184832	184833	184834
184921	184922	184923
187153	187154	187155
187521	187522	187523
187692	187693	187694
187826	187827	187828
187950	187951	187952
188041	188042	188043
188115	188116	188117
188177	188178	188179
188277	188278	188279
188336	188337	188338
188422	188423	188424
188590	188591	188592
188676	188677	188678
188741	188742	188743
189528	189529	189530
192639	192640	192641
192766	192767	192768
192911	192912	192913
193020	193021	193022
193095	193096	193097
193237	193238	193239
193443	193444	193445
193530	193531	193532
193624	193625	193626
193735	193736	193737
193884	193885	193886
194022	194023	194024
194156	194157	194158
195271	195272	195273
195353	195354	195355
195433	195434	195435
195510	195511	195512
195583	195584	195585
195684	195685	195686
195795	195796	195797
197205	197206	197207
197292	197293	197294
222995	222996	222997
197390	197391	197392
197491	197493	197495
197606	197607	197608
197676	197677	197678
197758	197759	197760
197890	197891	197892
199965	199966	199967
200070	200071	200072
200163	200164	200165
200261	200262	200263
200393	200394	200395
200475	200476	200477
200565	200566	200567
200641	200642	200643
200731	200732	200733
200846	200847	200848
203316	203317	203318
203440	203441	203442
203572	203573	203574
203691	203692	203693
203780	203781	203782
203854	203855	203856
203940	203941	203942
204046	204047	204048
204140	204142	204144
204194	204195	204196
204292	204293	204294
157867	157868	157869
158102	158103	158104
158211	158212	158213
158336	158338	158340
158461	158462	158463
158601	158602	158603
206787	206788	206789
206869	206870	206871
207034	207035	207036
207168	207169	207170
207283	207284	207285
207365	207366	207367
207434	207435	207436
207530	207531	207532
207625	207626	207627
207726	207727	207728
207837	207838	207839
207921	207922	207923
208026	208027	208028
208116	208117	208118
157389	157390	157391
158688	158689	158690
158789	158790	158791
158931	158932	158933
161692	161693	161694
161800	161801	161802
161901	161902	161903
162070	162071	162072
162242	162243	162244
162395	162396	162397
162653	162654	162655
162486	162488	162490
162790	162791	162792
162952	162953	162954
164394	164395	164396
restricted
164724	164725	164726
164887	164888	164889
restricted
165106	165107	165108
165256	165257	165258
165346	165347	165348
165430	165431	165432
165543	165544	165545
166631	166632	166633
166789	166790	166791
166947	166948	166949
167053	167054	167055
167186	167187	167188
167301	167302	167303
167433	167434	167435
167521	167522	167523
167593	167594	167595
167673	167674	167675
168858	168859	168860
169096	169097	169098
222641	222642	222643
225711	225712	225713
169214	169216	169217
222834	222835	222836
222897	222898	222899
169315	169316	169317
222946	222947	222948
169408	169409	169410
226235	226236	226237
169613	169614	169615
226292	226293	226294
226383	226384	226385
169753	169754	169755
169871	169872	169873
226437	226438	226439
169958	169959	169960
226498	226499	226500
170088	170089	170090
170997	170998	170999
171137	171140	171142
226553	226554	226555
226609	226610	226611
171237	171238	171239
153443	153444	153445
227477	227478	227479
227574	227575	227576
227626	227627	227628
227674	227675	227676
227723	227724	227725
171390	171391	171392
171488	171489	171490
171595	171596	171597
171682	171683	171684
227772	227773	227774
229418	229419	229420
229464	229465	229466
172067	172068	172069
229518	229519	229520
229591	229592	229593
172207	172208	172209
172294	172295	172296
229670	229671	229672
229711	229712	229713
229800	229801	229802
173404	173405	173406
173556	173557	173558
229857	229858	229859
173716	173717	173718
229920	229921	229922
173837	173838	173839
173953	173954	173955
174022	174023	174024
229972	229973	229974
230055	230056	230057
174099	174100	174101
174174	174175	174176
174232	174233	174234
230107	230108	230109
174342	174343	174344
174453	174454	174455
175348	175349	175350
175509	175510	175511
175620	175621	175622
175715	175716	175717
175861	175862	175863
175945	175946	175947
176049	176050	176051
176146	176147	176148
176242	176243	176244
176344	176345	176346
176744	176745	176746
176897	176898	176899
176972	176973	176974
177242	177243	177244
177394	177395	177396
177565	177566	177567
177631	177632	177633
177713	177714	177715
177840	177841	177842
178041	178042	178043
178773	178774	178775
178915	178916	178917
179055	179056	179057
179159	179160	179161
179284	179285	179286
179394	179395	179396
179542	179543	179544
179670	179671	179672
210317	210318	210319
210409	210410	210411
210519	210520	210521
210623	210624	210625
210692	210693	210694
210792	210793	210794
210851	210853	210854
210923	210924	210925
210986	210987	210988
211109	211110	211111
restricted (144855270)
211418	211419	211420
211507	211508	211509
211602	211603	211604
213600	213601	213602
213698	213699	213700
213816	213817	213818
213867	213868	213869
213955	213956	213957
214037	214038	214039
214126	214127	214128
214188	214190	214192
214291	214292	214293
214379	214380	214381
214448	214449	214450
214540	214541	214542
214617	214618	214619
214728	214729	214730
217022	217023	217024
217091	217092	217093
217200	217201	217202
217267	217268	217269
217350	217351	217352
217394	217395	217396
217476	217477	217478
217536	217537	217538
217626	217627	217628
217688	217689	217690
220591	220592	220593
220773	220774	220775
220825	220826	220827
220873	220874	220875
220947	220948	220949
221167	221168	221169
221253	221254	221255
221322	221323	221324
221412	221413	221414
221495	221496	221497
233049	233050	233051
233106	233107	233108
233131	233132	233133
233180	233181	233182
233229	233230	233231
233270	233271	233272
233316	233317	233318
233351	233352	233353
233389	233390	233391
233438	233439	233440
234042	234043	234044
234082	234083	234084
234125	234126	234127
234155	234156	234157
234198	234199	234200
234231	234232	234233
234273	234274	234275
234311	234312	234313
234351	234352	234353
234378	234379	234380
234818	234819	234820
234855	234856	234857
234878	234879	234880
234904	234905	234906
234958	234959	234960
235008	235009	235010
235042	235043	235044
235104	235105	235106
235147	235148	235149
235196	235197	235198
235689	235690	235691
235744	235745	235746
235786	235788	235790
235821	235822	235823
235860	235861	235862
235886	235887	235888
235915	235916	235917
235947	235948	235949
236008	236009	236010
236044	236045	236046
236576	236577	236578
236612	236613	236614
236653	236654	236655
236685	236686	236687
236715	236716	236717
236749	236750	236751
236783	236784	236785
236812	236813	236814
237003	237004	237005
